Direccion IP Fecha	      User  Process ID      Command

127.0.0. 2017-12-13 11:14:4 LuisD Process ID:14270 [A
 2017-12-13 11:14:49 LuisD Process ID:14265 ayuda
127.0.0. 2017-12-13 11:14:58 LuisD Process ID:14313 imprime_bitacora
127.0.0. 2017-12-13 11:15:5 LuisD Process ID:14316 imprime_error
127.0.0. 2017-12-13 11:15:5 LuisD Process ID:14316 imprime_error
 2017-12-13 11:16:4 LuisD Process ID:14265 ayuda
127.0.0. 2017-12-13 11:15:5 LuisD Process ID:14316 imprime_error
 2017-12-13 11:16:4 LuisD Process ID:14265 ayuda
 2017-12-13 11:16:9 LuisD Process ID:14265 bitacora_error
127.0.0. 2017-12-13 11:15:5 LuisD Process ID:14316 imprime_error
 2017-12-13 11:16:4 LuisD Process ID:14265 ayuda
 2017-12-13 1 2017-12-13 11:16:18 LuisD Process ID:14265 bitacora_error
127.0.0. 2017-12-13 11:15:5 LuisD Process ID:14316 imprime_error
 2017-12-13 11:16:4 LuisD Process ID:14265 ayuda
 2017-12-13 1 2017-12-13 11:16:24 LuisD Process ID:14265 bitacora_comandos
127.0.0. 2017-12-13 11:15:5 LuisD Process ID:14316 imprime_error
 2017-12-13 11:16:4 LuisD Process ID:14265 ayuda
 2017-12-13 1 2017-12-13 11:16:36 LuisD Process ID:14265 terminar
127.0.0.1 2017-12-13 11:39:19 LuisD Process ID:15171 terminar
127.0.0.1 2017-12-13 11:39:22 LuisD Process ID:15123 terminar
127.0.0.1 2017-12-13 11:39:25 LuisD Process ID:15087 terminar
127.0.0.1 2017-12-13 11:39:27 LuisD Process ID:15051 terminar
127.0.0.1 2017-12-13 11:39:31 LuisD Process ID:15014 terminar
127.0.0.1 2017-12-13 11:46:44 LuisD Process ID:15486 terminar
127.0.0.1 2017-12-13 11:46:48 LuisD Process ID:15447 terminar
127.0.0.1 2017-12-13 11:47:49 LuisD Process ID:15690 terminar
127.0.0.1 2017-12-13 11:47:53 LuisD Process ID:15654 terminar
127.0.0.1 2017-12-13 11:48:20 LuisD Process ID:15617 terminar
127.0.0.1 2017-12-13 11:52:58 LuisD Process ID:15976 terminar
127.0.0.1 2017-12-13 11:53:3 LuisD Process ID:15940 terminar
