Direccion IP Fecha              User  Process ID   Command

127.0.0. 2017-12-13 11:14:4 LuisD Process ID:14270 [A
 2017-12-13 11:14:49 LuisD Process ID:14265 ayuda
 2017-12-13 11:14:58 LuisD Process ID:0 imprime_bitacora
127.0.0. 2017-12-13 11:14:58 LuisD Process ID:14313 imprime_bitacora
 2017-12-13 11:15:5 LuisD Process ID:0 imprime_error
172.24.79.62 2017-12-13 17:17:6 LuisD Process ID:0 termianr
172.24.79.62 2017-12-13 17:31:22 LuisD Process ID:0 1
172.20.10.4 2017-12-13 18:19:30 LuisD Process ID:0 termianr
172.20.10.4 2017-12-13 18:55:9 LuisD Process ID:0 3
172.20.10.4 2017-12-13 18:56:21 LuisD Process ID:0 1
172.20.10.4 2017-12-13 18:56:48 LuisD Process ID:0 1
172.20.10.4 2017-12-13 18:57:20 LuisD Process ID:0 1
172.20.10.4 2017-12-13 18:58:4 LuisD Process ID:0 terminat
172.20.10.4 2017-12-13 18:58:35 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:7:26 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:8:7 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:14:51 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:17:11 LuisD Process ID:0 f
172.20.10.4 2017-12-13 19:18:15 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:21:15 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:22:1 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:23:8 LuisD Process ID:0 termianr
172.20.10.4 2017-12-13 19:23:11 LuisD Process ID:0 termiar
172.20.10.4 2017-12-13 19:23:19 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:24:24 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:25:48 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:26:48 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:27:48 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:30:39 LuisD Process ID:0 confgurar
172.20.10.4 2017-12-13 19:30:42 LuisD Process ID:0 confgurar
172.20.10.4 2017-12-13 19:35:32 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:36:11 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:37:58 LuisD Process ID:0 1
172.20.10.4 2017-12-13 19:42:41 LuisD Process ID:0 termianr
127.0.0.1 2017-12-14 16:36:55 LuisD Process ID:0 termianr
192.168.109.13 2018-4-3 15:4:33 emilio Process ID:0 exit
